business_id,name,stars,review_count,city,state
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,4.0,389,Santa Barbara,CA
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,4.0,2404,Santa Barbara,CA
ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,4.0,64,Santa Barbara,CA
-kY_HDP7IMvGl-kBIZVU4A,Dune Coffee Roasters - Anacapa,4.0,320,Santa Barbara,CA
-ujBP1Dw0j1-Ffaz97-LXQ,Lama Dog Tap Room,4.0,238,Santa Barbara,CA
UFpCraqzFBAhtZqmxmiWsA,Cat Therapy,4.5,116,Santa Barbara,CA
Hqz96v1ymucUKNzIWfEKXw,Subway,3.0,5,Santa Barbara,CA
JWFpjvCc_nkNDVtMPx1ZGg,Bogo SB,4.5,12,Santa Barbara,CA
TZ-bgvsk189WywTLFrqfTQ,Ascending Health Juicery,4.5,7,Santa Barbara,CA
9L-MR0arflwFMF9szEBOOg,California Wine Festival,4.5,7,Santa Barbara,CA
aYMpjij5ShtEoZueMrQPRw,The Mill,4.0,5,Santa Barbara,CA
PaqDZUu76fZtMvcYqCEBig,Rincon Brewery,4.0,32,Santa Barbara,CA
GgcvRnt5_z3NEC0D6vNncQ,Cafe Buenos Aires,3.5,56,Santa Barbara,CA
N-CBZKO37y_WSUN7ZMNGkg,Taqueria El Pastorcito,4.0,66,Santa Barbara,CA
nTZuJSfwCoNOyA1yS3rbOQ,The Silver Bough,4.5,7,Santa Barbara,CA
oXP5aohLv5e7R4eahaGXkQ,B and D's Curbside Grill,3.5,6,Santa Barbara,CA
lTVHJAvtFQbQb6cPstEXyA,China Bowl & State Street Cafe,2.0,61,Santa Barbara,CA
Ey0t4U6yqtxCeMaGPf7GcA,Brummis - the German Taste,4.5,111,Santa Barbara,CA
qdpdUjdkEUpzYDdce2yZng,Plaza Deli,4.0,188,Santa Barbara,CA
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,3.5,106,Santa Barbara,CA
pUVRCYL8rT4I5Ry5FYkRsA,Topa Topa Brewing Company,4.5,105,Santa Barbara,CA
1mqNI-eS2fnQv9kQn5yB4A,Vera Kong Piano Studio,5.0,10,Santa Barbara,CA
j-lxie7nEh3UeUTpiqekkQ,Presto Pasta,3.0,8,Santa Barbara,CA
MAIfD4kJDCydgoD1l2b_vw,Corks n' Crowns,4.0,276,Santa Barbara,CA
jW4a3W9-UkFxpglHvo_Kqg,Meun Fan Thai Cafe,4.0,195,Santa Barbara,CA
3RtMd3VZ21WL5auDr6Jp9A,Cafe Zoma,4.0,27,Santa Barbara,CA
q6661I3CGW0UB740E5Zjfw,India House,2.0,136,Santa Barbara,CA
a1E2BPYnufFzb6YX2pplJg,Wahoo's Fish Tacos,3.5,62,Santa Barbara,CA
YB689VFiOlzUTBRPiauDFA,Terraza Cafe,3.0,17,Santa Barbara,CA
sxuv5uZU15UHGT_HB1xYxQ,Islands Restaurant,3.5,197,Santa Barbara,CA
Qi-A4ZgcEuSnq_8Fpfo_3Q,Our Lady of Guadalupe Mercado,4.5,8,Santa Barbara,CA
HQ-C47_Xi5it1KzwEc0u0A,Barbarians,3.0,96,Santa Barbara,CA
q75UQjNm6AEK4XNnkDLxTQ,The Project -- Corazón Cocina & Taproom,4.0,162,Santa Barbara,CA
Dp9Jxlocw7cnos9fE7HKIQ,Jack's Bistro & Bagels,3.5,9,Santa Barbara,CA
FDTwPQ4CNWEOY0rfh4eTzQ,ParadICE Hawaiian Shave Ice & Ice Cream,5.0,192,Santa Barbara,CA
wuzoQhym6ll3fjAiVgIJbw,Good Cup,3.5,109,Santa Barbara,CA
iHdrLu8deF5GceB0V1rPhA,Oliver's,4.5,313,Santa Barbara,CA
SaUbh0sMSev8gKNJYtC76g,Hob Nob,3.0,23,Santa Barbara,CA
Nv6ruFQa6AG6g8f-_IxFCw,Alito’s,4.0,18,Santa Barbara,CA
PPcz-0UtIJ8O7xDT551y2g,Intermezzo By Wine Cask,4.5,141,Santa Barbara,CA
2bl6G1zgXUHbMGwEocqMSg,Daves Dogs - Cart,5.0,156,Santa Barbara,CA
9JR9Ht6IX1r2jPPG689JyA,Subway,2.5,18,Santa Barbara,CA
zbrIMldF_O1ZQ0vpUaaa8A,Bluewater Grill - Santa Barbara,4.0,768,Santa Barbara,CA
29YqJwOGEuAWqlHZxMc1OA,Paradise Cafe,3.5,290,Santa Barbara,CA
HFhjwiTaIzXrKCPiN5EXmw,Trader Joe's,4.0,37,Santa Barbara,CA
KiE0h68HGOO7ZXAqkMBdiw,Starbucks,2.5,35,Santa Barbara,CA
fLk_N8vU25DNZmbU-70gkw,Chipotle Mexican Grill,3.5,57,Santa Barbara,CA
-Fka99c-tJ-epWYNIobqyQ,Pizza Mizza,3.5,169,Santa Barbara,CA
ycbmvmBYk4w_ZmdrPL0tBQ,The Cruisery,4.0,362,Santa Barbara,CA
XwnkfMUiyH-OsJXbmbOK5g,Sushi Tyme,3.5,155,Santa Barbara,CA
0qu0fNTOsSmuREYVIMPuIQ,Cold Spring Tavern,4.5,1018,Santa Barbara,CA
uO39--k_hrCFgZh-Bl8m8A,Taqueria Cuernavaca,4.5,409,Santa Barbara,CA
lq7dE9c10OvRfd_edJoyMg,Due Lune Cucina,4.0,79,Santa Barbara,CA
fnGZspqyamRremXor0sAyg,Frog Bar & Grill,4.0,16,Santa Barbara,CA
3-dQbvti2EpSfs9jKcyIjQ,State & A Bar and Grill,3.0,31,Santa Barbara,CA
D1OT9vuepvXJrn5VDgm4YA,Santa Barbara Certified Farmers Market,4.5,113,Santa Barbara,CA
cVW9b_1bqsvTU1jhGNWUsw,Yoshinoya,3.0,9,Santa Barbara,CA
wFES5bGDiPANW13hNHnXOQ,Sakana Sushi Bar & Japanese,4.0,374,Santa Barbara,CA
tOd6MX3hSuMyQxMK3ZKBTQ,Lucky Taxi & Limousine,4.5,7,Santa Barbara,CA
Ea2N2vZirKywxylvVo9Xpg,Saturday Fishermen's Market,5.0,9,Santa Barbara,CA
MbzgGsMQpGyVrUJXi_Jw0Q,Dawn Patrol,4.0,807,Santa Barbara,CA
O6RCCmz8-x4NhWJpI8KQug,Breakfast Culture Club,4.0,108,Santa Barbara,CA
eL4lyE7LNoXEMvpcJ8WNVw,Deep Sea Tasting Room,4.0,472,Santa Barbara,CA
ygZyTUWS4dbVL8d6vAiN4A,Taqueria Rincon Alteno,4.0,68,Santa Barbara,CA
34Eqv8jXgxg_EEwcsNgeeg,Backyard Bowls,4.0,659,Santa Barbara,CA
kZtl_NJjUnlIQgzFrBhXyQ,Ichiban,3.5,227,Santa Barbara,CA
zE8kXF0_2Twh4AhcewlFGw,Tsukemono,4.0,16,Santa Barbara,CA
-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,3.0,436,Santa Barbara,CA
HMkjv277ZaW_2tZelEn6LQ,Wine Edventures,5.0,165,Santa Barbara,CA
T2otvNcawDSkhykOG2tOLA,IHOP,2.5,113,Santa Barbara,CA
13UbOVDFdxloxaient5XWA,Jump On The School Bus,5.0,175,Santa Barbara,CA
k3lTRgvPvYUI-cX7_TAqNA,University Club of Santa Barbara,5.0,76,Santa Barbara,CA
1wvYBjX6radqmb_k0Fv_Ug,Palihouse Santa Barbara,4.0,7,Santa Barbara,CA
IUgQmteI-mbt_qjL2ZENKA,Epiphany Restaurant,3.5,29,Santa Barbara,CA
vsrryxBR2Jykl71qa1H6SQ,Caffe Primo,4.0,114,Santa Barbara,CA
7IdIGemGZodDAA_9mJCigA,Farmer Boy,4.0,255,Santa Barbara,CA
xIGiif0TmmmGuV2-sidMSw,La Bella Rosa Bakery Cafe,3.0,46,Santa Barbara,CA
syuKX2pH3JJhOOppzNI6SA,Yoichi's,4.5,184,Santa Barbara,CA
pwblP3G6LkVT03I4z9kb0A,Mad Dogs,3.0,67,Santa Barbara,CA
BdyPaxmB3O9Ngp9W09GrjA,TonyRay's Restaurant & Cantina,4.0,8,Santa Barbara,CA
ZCURd9PiH4qdEjQfrIZzFg,Maggie's at State and A,3.5,52,Santa Barbara,CA
qyS7KHJNRR_1x-zIhDScBA,J Wilkes Wines,4.5,74,Santa Barbara,CA
CWdCNIJU4Kh480NV9dgQjw,Third Window Brewing,4.5,183,Santa Barbara,CA
W5-2F8kftKARrEPLhQaZ8A,Tuttini,3.5,13,Santa Barbara,CA
I0jFTYVDs-WHwKR2XHQlRA,Zen Yai Thai Cuisine,4.0,347,Santa Barbara,CA
4g7eZD8PYvUEwROZeXxA-w,Salas Mobile Mechanic,5.0,41,Santa Barbara,CA
rxH22mT81ht_n3cGTbWi4A,Beans BBQ and Catering,5.0,13,Santa Barbara,CA
n6reYUBVF9buglcojgB0FQ,Harbor Market & Deli,2.0,6,Santa Barbara,CA
gebiRewfieSdtt17PTW6Zg,Hibachi Steak House & Sushi Bar,3.5,488,Santa Barbara,CA
zu4p6IZLSVn2Noto-vcwzw,East Beach Grill,3.5,169,Santa Barbara,CA
jLn69WQupjsDKrbPw_nlGQ,Yogurtland Santa Barbara,4.0,125,Santa Barbara,CA
dv6tq79a0PhoFphStXkqcQ,Jamba Juice,3.0,15,Santa Barbara,CA
6VVbLYay8czrjKJ4xRoTxQ,Judge For Yourself Cafe,4.5,110,Santa Barbara,CA
8-ZExybRuyyXZf6aESgc3g,Paseo Nuevo Shopping Center,4.0,125,Santa Barbara,CA
4KAuy-zNBxD9QvnkldwEww,The Marquee,4.0,45,Santa Barbara,CA
jZncFsMQdrq268OHq_Q6uw,Super Cuca's Taqueria,4.0,108,Santa Barbara,CA
R93mEcQ1pjq7q3LzShi3ow,"Villa Craft Beer, Wine & Kitchen",5.0,77,Santa Barbara,CA
NIQWO-Q_F598XlAvZnFVCA,Eureka!,4.0,961,Santa Barbara,CA
