business_id,category
IDtLPgUrqorrpqSLdfMhZQ,Food
IDtLPgUrqorrpqSLdfMhZQ,Restaurants
IDtLPgUrqorrpqSLdfMhZQ,Salad
IDtLPgUrqorrpqSLdfMhZQ,Coffee & Tea
IDtLPgUrqorrpqSLdfMhZQ,Breakfast & Brunch
IDtLPgUrqorrpqSLdfMhZQ,Sandwiches
IDtLPgUrqorrpqSLdfMhZQ,Bakeries
SZU9c8V2GuREDN5KgyHFJw,Live/Raw Food
SZU9c8V2GuREDN5KgyHFJw,Restaurants
SZU9c8V2GuREDN5KgyHFJw,Seafood
SZU9c8V2GuREDN5KgyHFJw,Beer Bar
SZU9c8V2GuREDN5KgyHFJw,Beer
SZU9c8V2GuREDN5KgyHFJw,Wine & Spirits
SZU9c8V2GuREDN5KgyHFJw,Bars
SZU9c8V2GuREDN5KgyHFJw,Food
SZU9c8V2GuREDN5KgyHFJw,Nightlife
ifjluUv4VASwmFqEp8cWlQ,Pizza
ifjluUv4VASwmFqEp8cWlQ,Restaurants
-kY_HDP7IMvGl-kBIZVU4A,Coffee & Tea
-kY_HDP7IMvGl-kBIZVU4A,Coffee Roasteries
-kY_HDP7IMvGl-kBIZVU4A,Food
-ujBP1Dw0j1-Ffaz97-LXQ,Beer
-ujBP1Dw0j1-Ffaz97-LXQ,Wine & Spirits
-ujBP1Dw0j1-Ffaz97-LXQ,Pubs
-ujBP1Dw0j1-Ffaz97-LXQ,Arts & Entertainment
-ujBP1Dw0j1-Ffaz97-LXQ,Kombucha
-ujBP1Dw0j1-Ffaz97-LXQ,Nightlife
-ujBP1Dw0j1-Ffaz97-LXQ,Wineries
-ujBP1Dw0j1-Ffaz97-LXQ,Food
-ujBP1Dw0j1-Ffaz97-LXQ,Bars
-ujBP1Dw0j1-Ffaz97-LXQ,Beer Bar
UFpCraqzFBAhtZqmxmiWsA,Themed Cafes
UFpCraqzFBAhtZqmxmiWsA,Cafes
UFpCraqzFBAhtZqmxmiWsA,Pets
UFpCraqzFBAhtZqmxmiWsA,Arts & Entertainment
UFpCraqzFBAhtZqmxmiWsA,Women's Clothing
UFpCraqzFBAhtZqmxmiWsA,Coffee & Tea
UFpCraqzFBAhtZqmxmiWsA,Shopping
UFpCraqzFBAhtZqmxmiWsA,Pet Adoption
UFpCraqzFBAhtZqmxmiWsA,Fashion
UFpCraqzFBAhtZqmxmiWsA,Pet Sitting
UFpCraqzFBAhtZqmxmiWsA,Accessories
UFpCraqzFBAhtZqmxmiWsA,Pet Stores
UFpCraqzFBAhtZqmxmiWsA,Pet Services
UFpCraqzFBAhtZqmxmiWsA,Food
UFpCraqzFBAhtZqmxmiWsA,Restaurants
Hqz96v1ymucUKNzIWfEKXw,Restaurants
Hqz96v1ymucUKNzIWfEKXw,Delis
Hqz96v1ymucUKNzIWfEKXw,Sandwiches
Hqz96v1ymucUKNzIWfEKXw,Fast Food
JWFpjvCc_nkNDVtMPx1ZGg,Food
JWFpjvCc_nkNDVtMPx1ZGg,Food Delivery Services
JWFpjvCc_nkNDVtMPx1ZGg,Burgers
JWFpjvCc_nkNDVtMPx1ZGg,Pizza
