business_id,city,state
IDtLPgUrqorrpqSLdfMhZQ,Santa Barbara,CA
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara,CA
ifjluUv4VASwmFqEp8cWlQ,Santa Barbara,CA
-kY_HDP7IMvGl-kBIZVU4A,Santa Barbara,CA
-ujBP1Dw0j1-Ffaz97-LXQ,Santa Barbara,CA
UFpCraqzFBAhtZqmxmiWsA,Santa Barbara,CA
Hqz96v1ymucUKNzIWfEKXw,Santa Barbara,CA
JWFpjvCc_nkNDVtMPx1ZGg,Santa Barbara,CA
TZ-bgvsk189WywTLFrqfTQ,Santa Barbara,CA
9L-MR0arflwFMF9szEBOOg,Santa Barbara,CA
aYMpjij5ShtEoZueMrQPRw,Santa Barbara,CA
PaqDZUu76fZtMvcYqCEBig,Santa Barbara,CA
GgcvRnt5_z3NEC0D6vNncQ,Santa Barbara,CA
N-CBZKO37y_WSUN7ZMNGkg,Santa Barbara,CA
nTZuJSfwCoNOyA1yS3rbOQ,Santa Barbara,CA
oXP5aohLv5e7R4eahaGXkQ,Santa Barbara,CA
lTVHJAvtFQbQb6cPstEXyA,Santa Barbara,CA
Ey0t4U6yqtxCeMaGPf7GcA,Santa Barbara,CA
qdpdUjdkEUpzYDdce2yZng,Santa Barbara,CA
bjhCtlYHrkgA5Ku8l-rB3g,Santa Barbara,CA
pUVRCYL8rT4I5Ry5FYkRsA,Santa Barbara,CA
1mqNI-eS2fnQv9kQn5yB4A,Santa Barbara,CA
j-lxie7nEh3UeUTpiqekkQ,Santa Barbara,CA
MAIfD4kJDCydgoD1l2b_vw,Santa Barbara,CA
jW4a3W9-UkFxpglHvo_Kqg,Santa Barbara,CA
3RtMd3VZ21WL5auDr6Jp9A,Santa Barbara,CA
q6661I3CGW0UB740E5Zjfw,Santa Barbara,CA
a1E2BPYnufFzb6YX2pplJg,Santa Barbara,CA
YB689VFiOlzUTBRPiauDFA,Santa Barbara,CA
sxuv5uZU15UHGT_HB1xYxQ,Santa Barbara,CA
Qi-A4ZgcEuSnq_8Fpfo_3Q,Santa Barbara,CA
HQ-C47_Xi5it1KzwEc0u0A,Santa Barbara,CA
q75UQjNm6AEK4XNnkDLxTQ,Santa Barbara,CA
Dp9Jxlocw7cnos9fE7HKIQ,Santa Barbara,CA
FDTwPQ4CNWEOY0rfh4eTzQ,Santa Barbara,CA
wuzoQhym6ll3fjAiVgIJbw,Santa Barbara,CA
iHdrLu8deF5GceB0V1rPhA,Santa Barbara,CA
SaUbh0sMSev8gKNJYtC76g,Santa Barbara,CA
Nv6ruFQa6AG6g8f-_IxFCw,Santa Barbara,CA
PPcz-0UtIJ8O7xDT551y2g,Santa Barbara,CA
2bl6G1zgXUHbMGwEocqMSg,Santa Barbara,CA
9JR9Ht6IX1r2jPPG689JyA,Santa Barbara,CA
zbrIMldF_O1ZQ0vpUaaa8A,Santa Barbara,CA
29YqJwOGEuAWqlHZxMc1OA,Santa Barbara,CA
HFhjwiTaIzXrKCPiN5EXmw,Santa Barbara,CA
KiE0h68HGOO7ZXAqkMBdiw,Santa Barbara,CA
fLk_N8vU25DNZmbU-70gkw,Santa Barbara,CA
-Fka99c-tJ-epWYNIobqyQ,Santa Barbara,CA
ycbmvmBYk4w_ZmdrPL0tBQ,Santa Barbara,CA
XwnkfMUiyH-OsJXbmbOK5g,Santa Barbara,CA
0qu0fNTOsSmuREYVIMPuIQ,Santa Barbara,CA
uO39--k_hrCFgZh-Bl8m8A,Santa Barbara,CA
lq7dE9c10OvRfd_edJoyMg,Santa Barbara,CA
fnGZspqyamRremXor0sAyg,Santa Barbara,CA
3-dQbvti2EpSfs9jKcyIjQ,Santa Barbara,CA
D1OT9vuepvXJrn5VDgm4YA,Santa Barbara,CA
cVW9b_1bqsvTU1jhGNWUsw,Santa Barbara,CA
wFES5bGDiPANW13hNHnXOQ,Santa Barbara,CA
tOd6MX3hSuMyQxMK3ZKBTQ,Santa Barbara,CA
Ea2N2vZirKywxylvVo9Xpg,Santa Barbara,CA
MbzgGsMQpGyVrUJXi_Jw0Q,Santa Barbara,CA
O6RCCmz8-x4NhWJpI8KQug,Santa Barbara,CA
eL4lyE7LNoXEMvpcJ8WNVw,Santa Barbara,CA
ygZyTUWS4dbVL8d6vAiN4A,Santa Barbara,CA
34Eqv8jXgxg_EEwcsNgeeg,Santa Barbara,CA
kZtl_NJjUnlIQgzFrBhXyQ,Santa Barbara,CA
zE8kXF0_2Twh4AhcewlFGw,Santa Barbara,CA
-3AooxIkg38UyUdlz5oXdw,Santa Barbara,CA
HMkjv277ZaW_2tZelEn6LQ,Santa Barbara,CA
T2otvNcawDSkhykOG2tOLA,Santa Barbara,CA
13UbOVDFdxloxaient5XWA,Santa Barbara,CA
k3lTRgvPvYUI-cX7_TAqNA,Santa Barbara,CA
1wvYBjX6radqmb_k0Fv_Ug,Santa Barbara,CA
IUgQmteI-mbt_qjL2ZENKA,Santa Barbara,CA
vsrryxBR2Jykl71qa1H6SQ,Santa Barbara,CA
7IdIGemGZodDAA_9mJCigA,Santa Barbara,CA
xIGiif0TmmmGuV2-sidMSw,Santa Barbara,CA
syuKX2pH3JJhOOppzNI6SA,Santa Barbara,CA
pwblP3G6LkVT03I4z9kb0A,Santa Barbara,CA
BdyPaxmB3O9Ngp9W09GrjA,Santa Barbara,CA
ZCURd9PiH4qdEjQfrIZzFg,Santa Barbara,CA
qyS7KHJNRR_1x-zIhDScBA,Santa Barbara,CA
CWdCNIJU4Kh480NV9dgQjw,Santa Barbara,CA
W5-2F8kftKARrEPLhQaZ8A,Santa Barbara,CA
I0jFTYVDs-WHwKR2XHQlRA,Santa Barbara,CA
4g7eZD8PYvUEwROZeXxA-w,Santa Barbara,CA
rxH22mT81ht_n3cGTbWi4A,Santa Barbara,CA
n6reYUBVF9buglcojgB0FQ,Santa Barbara,CA
gebiRewfieSdtt17PTW6Zg,Santa Barbara,CA
zu4p6IZLSVn2Noto-vcwzw,Santa Barbara,CA
