user_id,business_id,stars,date
59MxRhNVhU9MYndMkz0wtw,gebiRewfieSdtt17PTW6Zg,3.0,2016-07-25 07:31:06
bFPdtzu11Oi0f92EAcjqmg,IDtLPgUrqorrpqSLdfMhZQ,5.0,2016-10-13 22:50:47
JYYYKt6TdVA4ng9lLcXt_g,SZU9c8V2GuREDN5KgyHFJw,5.0,2016-05-31 02:14:54
RiQWbgwR-asiU_mA7s8gpg,pUVRCYL8rT4I5Ry5FYkRsA,5.0,2016-12-19 22:58:19
QacYrFyCrFLmC726YEEBsA,29YqJwOGEuAWqlHZxMc1OA,1.0,2012-05-29 03:51:08
cpp89UW0imv45y3a_O444w,34Eqv8jXgxg_EEwcsNgeeg,5.0,2014-05-25 22:33:02
RgtbLaiU22zqaCk20HgbiQ,bjhCtlYHrkgA5Ku8l-rB3g,1.0,2015-01-04 02:26:46
oGV84fsuRbLQRRQ6ZZC1dA,-kY_HDP7IMvGl-kBIZVU4A,4.0,2016-07-14 19:43:42
I7ugU8kU4bPh4UL90yJanQ,eL4lyE7LNoXEMvpcJ8WNVw,5.0,2016-12-04 16:55:51
FNf6kM1wfeBeB2UW6pif7g,qdpdUjdkEUpzYDdce2yZng,4.0,2016-11-09 19:58:45
Uk3X2AypU8AqvcYEVf7s6Q,eL4lyE7LNoXEMvpcJ8WNVw,3.0,2011-08-25 16:14:24
LcqNuhqaYt5ekKzaRirmIg,SZU9c8V2GuREDN5KgyHFJw,5.0,2015-08-19 04:11:47
2QDiMTrheevtsKETQ0TPdQ,13UbOVDFdxloxaient5XWA,5.0,2017-06-28 02:34:58
Ttb21DpWqphQMNSS5TXgMA,IDtLPgUrqorrpqSLdfMhZQ,5.0,2017-01-15 00:36:04
Q_ixtOGUKUbCQ_sXThQAwA,SZU9c8V2GuREDN5KgyHFJw,5.0,2014-05-08 04:14:10
o72LSEPHKu1oQcpXeIVlag,qdpdUjdkEUpzYDdce2yZng,4.0,2017-05-13 04:43:30
4P_GCHFMV0mF2SqEWwWgtQ,0qu0fNTOsSmuREYVIMPuIQ,4.0,2014-07-28 00:23:51
v89gB-GD6AAflPtVL-4iDw,k3lTRgvPvYUI-cX7_TAqNA,5.0,2015-12-20 21:47:02
w90KNnzS6Ao3k-njRlCEeA,2bl6G1zgXUHbMGwEocqMSg,5.0,2016-01-17 06:59:35
v8aeoMqdrClqfZxNB4lWCA,SZU9c8V2GuREDN5KgyHFJw,3.0,2016-07-14 20:15:05
DAXuBz8W8I0P6Fqden3kjA,kZtl_NJjUnlIQgzFrBhXyQ,3.0,2017-02-19 15:57:00
KLS_AWthM9n6KLcBTCF_RQ,SZU9c8V2GuREDN5KgyHFJw,5.0,2017-12-29 17:57:00
o6UJMpHcpLJEvmKLrxLS3w,0qu0fNTOsSmuREYVIMPuIQ,4.0,2016-10-14 03:44:53
jytULgxk9gDRuZQy0AyusQ,-Fka99c-tJ-epWYNIobqyQ,4.0,2016-01-18 00:09:29
NZdASLiCRqQI1yIl9MIY5w,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,2018-03-15 19:16:02
ha2Lv7WnxvdYnRsqwL1apQ,IDtLPgUrqorrpqSLdfMhZQ,4.0,2018-07-17 00:20:41
nuEtJcnjhS1LLzinPch8xw,-ujBP1Dw0j1-Ffaz97-LXQ,5.0,2018-06-26 18:59:32
yvlCg8NA5PuB3mlrWDpJnQ,W5-2F8kftKARrEPLhQaZ8A,2.0,2009-10-14 21:48:15
gk7QzENtPjq6gRznGkvcOA,I0jFTYVDs-WHwKR2XHQlRA,4.0,2016-04-12 16:56:09
gaqPcK4kIN9_N7htRQhTtg,SZU9c8V2GuREDN5KgyHFJw,4.0,2016-08-04 19:14:43
lAlUjkkyzQAAWAo4BNs2Hw,eL4lyE7LNoXEMvpcJ8WNVw,5.0,2016-11-10 06:02:44
lUYboGI6aFbZ0dX27pijpA,gebiRewfieSdtt17PTW6Zg,1.0,2017-06-28 01:04:59
tgP2gKsf3O9MyuLuolv2oQ,KiE0h68HGOO7ZXAqkMBdiw,1.0,2016-01-30 01:10:42
