user_id,name,review_count,average_stars
q_QQ5kBBwlCcbL1s4NVK3g,Jane,1221,3.85
iYzhPPqnrjJkg1JHZyMhzA,Chris,4,4.0
v7DwnrjzuTk7pXmuBPZnsg,Shell,39,4.0
4ZaqBJqt7laPPs8xfWvr6A,Nina,801,3.41
rCedFOnskGvHQTprtA4-5g,Mike,108,3.87
ZIR96Kh35GvW2eLyQHJh1Q,David,319,3.93
2l0O1EI1m0yWjFo2zSt71w,Shiho,2837,3.92
OmjMNG77obZOKQ59o-Tx4Q,Jenna,556,3.85
B-OVAq7aQN1aPN3NiFekTg,Robert,105,3.08
-TT5e-YQU9xLb1JAGCGkQw,Daniel,183,3.89
dHLL7SVGJw5uM6IEp_wb4Q,Constance,538,3.5
UQFE3BT1rsIYrcDvu_XVow,Mike,1560,4.17
MCcz4FmJQaqnIv6pzeS1VQ,Maribel,483,3.27
sHwBXS0trP0CC_f5K_11VA,Tai,823,3.77
C0hNXqJZJuly7et8sSvSAQ,Michael,69,3.63
clirF7pph8EPEoMtvrcj0w,Lauren,373,4.2
PadmV2GEoA6mWpQUpPh7Ig,Monica,695,3.82
-RApyq06DMBii7ovXtQnfw,Garen,1000,3.66
nomP8UcTgKjO6Yu2cLkr3g,Felix,5,4.2
Cy9TCWiOHFvCAl3xiC5vHg,Terry,36,4.41
lsCWo9DwJJ7tCRBHNjTsYA,Joy,60,4.2
TDXV6AC5PYOZEyN9eeODfA,Stephanie,631,3.68
CsLsfpHlHrInwBfJmjR-zg,Corazon,321,3.97
7Na1pUcEv3oF_QTRwZ-2iw,Amanda,839,4.18
W7Y3cKd50qabs646pZUKag,T,266,3.67
fdJde1TCDq0fvH-PbKiiEA,Caroline,54,3.16
oJMwdSEcl59FlX7cwaf0bA,Jenn,312,4.16
Zratk2K3CMsgLusfnm7Rnw,Laura,270,3.82
YWFbTcVnun8i03XnEU7kVg,Craig,762,4.43
-NnBFf5fosrLMeqkEwVLHg,Junk,278,3.28
WY2UlNWEHn1Vv2-JpTzEUg,Mifa,77,4.06
-rleYbGDq6rR1oTJFWG7og,Marcela,325,4.09
TaByJybLHGn9QXGE8fBklA,Cb,47,3.51
wyKi5kzzggDMEQSIGBpjWA,Jean,134,3.64
yGPSqnzFfrDKkHpadjPy3g,Tyson,306,3.83
Tk_FWXueutKii3f9yJFsdw,Rachel,359,3.79
